,Sneaker Name,Shoe Size,Retail Price,Resell Price,Release Date,Order Date,Red,Black,White,Green,Neo,Orange,Tan/Brown,Pink,Blue,Colorful,release_season,release_year,order_season,order_year
24,adidas-yeezy-boost-350-v2-beluga-2pt0,9.0,220,374.8194690265487,2017-11-25,2017-11-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Fall 2017,2017
25,adidas-yeezy-boost-350-v2-beluga-2pt0,9.5,220,391.5993031358885,2017-11-25,2017-11-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Fall 2017,2017
26,adidas-yeezy-boost-350-v2-beluga-2pt0,10.0,220,391.22510460251044,2017-11-25,2017-11-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Fall 2017,2017
27,adidas-yeezy-boost-350-v2-beluga-2pt0,10.5,220,402.9148148148148,2017-11-25,2017-11-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Fall 2017,2017
28,adidas-yeezy-boost-350-v2-beluga-2pt0,11.0,220,411.8919226393629,2017-11-25,2017-11-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Fall 2017,2017
29,adidas-yeezy-boost-350-v2-beluga-2pt0,11.5,220,426.48,2017-11-25,2017-11-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Fall 2017,2017
30,adidas-yeezy-boost-350-v2-beluga-2pt0,12.0,220,415.0252764612954,2017-11-25,2017-11-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Fall 2017,2017
31,adidas-yeezy-boost-350-v2-beluga-2pt0,12.5,220,461.7543859649123,2017-11-25,2017-11-23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Fall 2017,2017
32,adidas-yeezy-boost-350-v2-beluga-2pt0,13.0,220,421.7555012224939,2017-11-25,2017-11-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Fall 2017,2017
33,adidas-yeezy-boost-350-v2-beluga-2pt0,13.5,220,500.0,2017-11-25,2017-12-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Winter 2017,2017
34,adidas-yeezy-boost-350-v2-beluga-2pt0,14.0,220,394.1528384279476,2017-11-25,2017-11-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Fall 2017,2017
35,adidas-yeezy-boost-350-v2-beluga-2pt0,14.5,220,469.1,2017-11-25,2017-11-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Fall 2017,2017
36,adidas-yeezy-boost-350-v2-beluga-2pt0,16.0,220,683.0,2017-11-25,2017-11-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Fall 2017,2017
37,adidas-yeezy-boost-350-v2-blue-tint,4.0,220,347.88646288209605,2017-12-16,2017-12-14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
38,adidas-yeezy-boost-350-v2-blue-tint,4.5,220,440.4117647058824,2017-12-16,2017-12-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
39,adidas-yeezy-boost-350-v2-blue-tint,5.0,220,374.60620525059664,2017-12-16,2017-12-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
40,adidas-yeezy-boost-350-v2-blue-tint,5.5,220,420.80625,2017-12-16,2017-12-14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
41,adidas-yeezy-boost-350-v2-blue-tint,6.0,220,406.2063492063492,2017-12-16,2017-12-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
42,adidas-yeezy-boost-350-v2-blue-tint,6.5,220,449.56140350877195,2017-12-16,2017-12-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
43,adidas-yeezy-boost-350-v2-blue-tint,7.0,220,409.3262411347518,2017-12-16,2017-12-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
44,adidas-yeezy-boost-350-v2-blue-tint,7.5,220,395.37560975609756,2017-12-16,2017-12-14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
45,adidas-yeezy-boost-350-v2-blue-tint,8.0,220,369.25467289719626,2017-12-16,2017-12-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
46,adidas-yeezy-boost-350-v2-blue-tint,8.5,220,362.29411764705884,2017-12-16,2017-12-14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
47,adidas-yeezy-boost-350-v2-blue-tint,9.0,220,352.7717601547389,2017-12-16,2017-12-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
48,adidas-yeezy-boost-350-v2-blue-tint,9.5,220,369.58866103739444,2017-12-16,2017-12-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
49,adidas-yeezy-boost-350-v2-blue-tint,10.0,220,370.09150943396224,2017-12-16,2017-12-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
50,adidas-yeezy-boost-350-v2-blue-tint,10.5,220,377.58788598574824,2017-12-16,2017-12-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
51,adidas-yeezy-boost-350-v2-blue-tint,11.0,220,383.49111675126903,2017-12-16,2017-12-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
52,adidas-yeezy-boost-350-v2-blue-tint,11.5,220,393.94458438287154,2017-12-16,2017-12-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
53,adidas-yeezy-boost-350-v2-blue-tint,12.0,220,387.0532258064516,2017-12-16,2017-12-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
54,adidas-yeezy-boost-350-v2-blue-tint,12.5,220,443.3333333333333,2017-12-16,2017-12-14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
55,adidas-yeezy-boost-350-v2-blue-tint,13.0,220,389.6903553299492,2017-12-16,2017-12-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
56,adidas-yeezy-boost-350-v2-blue-tint,13.5,220,479.38461538461536,2017-12-16,2017-12-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
57,adidas-yeezy-boost-350-v2-blue-tint,14.0,220,383.9157303370786,2017-12-16,2017-12-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
58,adidas-yeezy-boost-350-v2-blue-tint,14.5,220,490.0,2017-12-16,2017-12-19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
59,adidas-yeezy-boost-350-v2-blue-tint,16.0,220,1007.8,2017-12-16,2017-12-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Winter 2017,2017,Winter 2017,2017
60,adidas-yeezy-boost-350-v2-butter,4.0,220,258.83012820512823,2018-06-30,2018-06-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
61,adidas-yeezy-boost-350-v2-butter,4.5,220,291.99095022624437,2018-06-30,2018-06-28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
62,adidas-yeezy-boost-350-v2-butter,5.0,220,273.25714285714287,2018-06-30,2018-06-27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summer 2018,2018,Summer 2018,2018
